,dataset,trainsize,testsize,length,classes,type,repeats,accu mean,accu std,train mean,train std,test mean,test std
0,Adiac,390,391,176,37,IMAGE,10,0.718414322,0.008216935,248084.0657,19189.19642,273258.3038,19820.96078
1,ArrowHead,36,175,251,3,IMAGE,10,0.844571429,0.009637418,9392.440526,440.6471306,54846.55201,2484.919616
2,Beef,30,30,470,5,SPECTRO,10,0.71,0.02744242,29567.57578,1196.765843,37231.06258,1677.255574
3,BeetleFly,20,20,512,2,IMAGE,10,0.745,0.055025247,15377.21582,1193.315029,19929.22913,1136.472136
4,BirdChicken,20,20,512,2,IMAGE,10,0.855,0.049721446,17226.90458,816.8297643,21213.46011,955.4541927
6,Car,60,60,577,4,SENSOR,10,0.821666667,0.024907235,99084.35092,5351.012641,109724.4264,5878.207237
5,CBF,30,900,128,3,SIMULATED,10,0.990555556,0.003323029,2028.650627,187.1518824,72522.73023,4173.106353
7,ChlorineConcentration,467,3840,166,3,SIMULATED,10,0.630625,0.002610525,101515.5387,1608.640737,941187.2844,13460.46784
8,CinCECGtorso,40,1380,1639,4,ECG,10,0.902753623,0.010314886,387467.2483,95303.16172,15694552.44,3821254.654
9,Coffee,28,28,286,2,SPECTRO,10,1,0,5252.292388,220.9701089,5784.307316,255.0838879
10,Computers,250,250,720,2,DEVICE,10,0.6168,0.012899612,960823.0314,29202.18148,1113605.824,24544.91189
11,CricketX,390,390,300,12,MOTION,10,0.77974359,0.01084157,411348.9561,73954.76172,471930.6409,82793.15561
12,CricketY,390,390,300,12,MOTION,10,0.784615385,0.012147582,363785.2442,42862.40597,401176.579,25361.42343
13,CricketZ,390,390,300,12,MOTION,10,0.795128205,0.008238004,346548.0257,12300.43791,387257.3943,13320.53691
14,DiatomSizeReduction,16,306,345,4,IMAGE,10,0.964379085,0.004478171,3978.145463,233.9262331,93649.33407,5324.839684
15,DistalPhalanxOutlineAgeGroup,400,139,80,3,IMAGE,10,0.732374101,0.012133439,21770.15294,501.7855154,9378.730746,194.2936513
16,DistalPhalanxOutlineCorrect,600,276,80,2,IMAGE,10,0.762318841,0.007864165,43985.88796,744.1106183,23416.76763,439.6383127
17,DistalPhalanxTW,400,139,80,6,IMAGE,10,0.661870504,0.011748152,22932.66406,673.4552161,9606.871964,228.1685315
21,Earthquakes,322,139,512,2,SENSOR,10,0.75323741,0.00347515,710438.7876,19436.8937,344993.2871,9733.284505
18,ECG200,100,100,96,2,ECG,10,0.897,0.009486833,5396.011048,402.2381314,6156.002769,209.8733506
19,ECG5000,500,4500,140,5,ECG,10,0.937555556,0.001299995,75489.42767,1427.744656,711215.7307,14556.65023
20,ECGFiveDays,23,861,136,2,ECG,10,0.805110337,0.01067009,1803.029648,73.06143008,82286.11277,2886.247912
22,ElectricDevices,8926,7711,96,7,DEVICE,10,0.688509921,0.002729516,1021269.941,262038.1152,973196.7369,243716.1761
23,FaceAll,560,1690,131,14,IMAGE,10,0.927278107,0.002984111,170953.1129,9972.71215,549029.1963,30977.32406
24,FaceFour,24,88,350,4,IMAGE,10,0.926136364,0.011043469,12171.97904,747.5555674,52674.1129,2932.331886
25,FacesUCR,200,2050,131,14,IMAGE,10,0.928292683,0.003243892,45721.17367,2007.037317,519481.8617,20971.69861
26,FiftyWords,450,455,270,50,IMAGE,10,0.8,0.009495591,883443.0024,41451.12951,971640.7802,44858.9527
27,Fish,175,175,463,7,IMAGE,10,0.909142857,0.011252614,160909.7909,7225.696264,177800.2931,7364.554157
28,FordA,3601,1320,500,2,SENSOR,10,0.846969697,0.006039526,10602724.19,2699520.991,4132335.105,1044854.027
29,FordB,3636,810,500,2,SENSOR,10,0.696790123,0.010527261,10068972.2,2112040.461,2460161.525,518311.3713
30,GunPoint,50,150,150,2,MOTION,10,0.993333333,0.006285394,2664.838013,101.9433315,9493.443052,337.5115945
31,Ham,109,105,431,2,SPECTRO,10,0.639047619,0.024363916,96539.96558,4432.571905,101366.0033,5281.373938
32,HandOutlines,1000,370,2709,2,IMAGE,10,0.906756757,0.006890567,63532254.38,18950452.34,24271945.54,4739023.502
33,Haptics,155,308,1092,5,MOTION,10,0.451298701,0.010603852,858196.192,33057.85958,1964455.339,71174.53264
34,Herring,64,64,512,2,IMAGE,10,0.6,0.041796672,101118.4638,2493.822025,118405.6111,2052.115738
35,InlineSkate,100,550,1882,7,MOTION,10,0.422727273,0.009121162,2229468.918,556466.9366,14730257.66,3700720.35
36,InsectWingbeatSound,220,1980,256,11,SENSOR,10,0.614141414,0.002439626,150647.0122,7659.025011,1530891.24,68012.84919
37,ItalyPowerDemand,67,1029,24,2,SENSOR,10,0.963848397,0.001986357,155.279185,8.535994686,2988.543391,120.6157746
38,LargeKitchenAppliances,375,375,720,3,DEVICE,10,0.753866667,0.01013879,1449268.638,32229.28056,1589148.3,34661.39375
39,Lightning2,60,61,637,2,SENSOR,10,0.852459016,0.018929517,148787.6203,4107.018507,167322.7551,4184.940753
40,Lightning7,70,73,319,7,SENSOR,10,0.804109589,0.021466044,42548.50987,2723.314108,51806.17709,4292.501714
41,Mallat,55,2345,1024,8,SIMULATED,10,0.956972281,0.003045053,198469.9401,55923.05674,9898428.261,2870088.478
42,Meat,60,60,448,3,SPECTRO,10,0.933333333,0,42966.01515,1526.539838,48817.18068,1892.118884
43,MedicalImages,381,760,99,10,IMAGE,10,0.756973684,0.007623256,34137.54861,2095.206016,75518.57835,4412.164611
44,MiddlePhalanxOutlineAgeGroup,400,154,80,3,IMAGE,10,0.575324675,0.016255397,20901.14308,451.4724096,10713.70492,173.9256736
45,MiddlePhalanxOutlineCorrect,600,291,80,2,IMAGE,10,0.821993127,0.011771118,41307.44337,775.6146486,22948.13883,518.1009777
46,MiddlePhalanxTW,399,154,80,6,IMAGE,10,0.542207792,0.023161185,23143.08929,847.7456841,10044.07335,1021.00407
47,MoteStrain,20,1252,84,2,SENSOR,10,0.888578275,0.005932449,524.0040508,19.92514205,39339.1011,1475.376528
48,NonInvasiveFetalECGThorax1,1800,1965,750,42,ECG,10,0.90524173,0.003458231,27994322.98,1126471.847,29513092.41,3261750.327
49,NonInvasiveFetalECGThorax2,1800,1965,750,42,ECG,10,0.934147583,0.001892023,22299528.73,5458929.68,25451124.65,4996783.324
51,OliveOil,30,30,570,4,SPECTRO,10,0.866666667,0,31309.36042,1935.917562,37914.22914,2222.507359
50,OSULeaf,200,242,427,6,IMAGE,10,0.727272727,0.010669376,300605.3643,6815.077913,411181.0574,7051.123653
52,PhalangesOutlinesCorrect,1800,858,80,2,IMAGE,10,0.808857809,0.006264381,123268.1947,2359.63023,67586.04492,1244.18107
53,Phoneme,214,1896,1024,39,SENSOR,10,0.305485232,0.006288941,4674510.366,809966.023,48274688.04,8559790.234
54,Plane,105,105,144,7,SENSOR,10,1,0,8655.555871,1215.69893,9441.195677,746.0538845
55,ProximalPhalanxOutlineAgeGroup,400,205,80,3,IMAGE,10,0.843902439,0.00796582,21878.42577,581.9697993,12281.32091,307.5186853
56,ProximalPhalanxOutlineCorrect,600,291,80,2,IMAGE,10,0.853264605,0.007777432,33313.34508,1479.682077,18997.12127,619.1756664
57,ProximalPhalanxTW,400,205,80,6,IMAGE,10,0.773170732,0.008370431,23205.58358,731.7539282,13672.58172,328.1574455
58,RefrigerationDevices,375,375,720,3,DEVICE,10,0.531733333,0.012135856,1365534.171,35880.77511,1516120.939,45135.37883
59,ScreenType,375,375,720,3,DEVICE,10,0.456266667,0.009854246,887537.7208,19121.46477,1035453.022,21228.07694
60,ShapeletSim,20,180,500,2,SIMULATED,10,0.759444444,0.014115436,30564.06184,1340.995739,340739.7591,14404.03595
61,ShapesAll,600,600,512,60,IMAGE,10,0.853166667,0.00743075,3570889.949,213721.6375,3828025.212,237346.0826
62,SmallKitchenAppliances,375,375,720,3,DEVICE,10,0.733866667,0.009639425,791032.3955,24179.51359,880020.4447,25002.8483
63,SonyAIBORobotSurface1,20,601,70,2,SENSOR,10,0.824625624,0.006618495,391.2272878,17.38255837,13037.30977,680.9314569
64,SonyAIBORobotSurface2,27,953,65,2,SENSOR,10,0.878908709,0.003641669,491.5689042,18.04926105,20769.9382,686.8814053
65,StarlightCurves,1000,8236,1024,3,SENSOR,10,0.976857698,0.000746719,4810348.992,877235.7635,39315901.85,7997868.924
66,Strawberry,613,370,235,2,SPECTRO,10,0.954864865,0.001824185,248884.4861,8422.418519,165053.9985,6308.593962
67,SwedishLeaf,500,625,128,15,IMAGE,10,0.93936,0.004971742,116069.1939,5355.997715,155122.5628,6632.545154
68,Symbols,25,995,398,6,IMAGE,10,0.952663317,0.002975734,12890.09927,799.7497456,595749.1819,38923.10363
69,SyntheticControl,300,300,60,6,SIMULATED,10,0.993666667,0.002459549,10342.88328,419.1388964,11352.88775,454.5466597
70,ToeSegmentation1,40,228,277,2,MOTION,10,0.881578947,0.013714666,17896.69345,464.1686198,121214.0956,2806.478431
71,ToeSegmentation2,36,130,343,2,MOTION,10,0.88,0.013664526,16544.80573,615.3003845,71307.80217,3109.724548
72,Trace,100,100,275,4,SENSOR,10,0.999,0.003162278,36027.66743,3228.971016,36701.19559,4123.422771
73,TwoLeadECG,23,1139,82,2,ECG,10,0.950746269,0.016170048,549.9608297,21.84998561,31911.74947,1382.661417
74,TwoPatterns,1000,4000,128,4,SIMULATED,10,0.99975,0.000204124,127586.6679,26160.23918,533534.1908,102309.7819
75,UWaveGestureLibraryAll,896,3582,945,8,MOTION,10,0.97107761,0.001037919,5326341.789,533459.7298,22241946.91,2243998.324
76,UWaveGestureLibraryX,896,3582,315,8,MOTION,10,0.821300949,0.001370512,816013.0358,173694.0132,3360824.578,630391.6515
77,UWaveGestureLibraryY,896,3582,315,8,MOTION,10,0.76239531,0.001370512,809332.5784,188082.6965,3487413.572,736334.5881
78,UWaveGestureLibraryZ,896,3582,315,8,MOTION,10,0.754885539,0.004071216,628067.7619,24485.3642,2709176.798,99422.85447
79,Wafer,1000,6164,152,2,SENSOR,10,0.995084361,0.000459181,109107.0914,2938.629602,695536.8073,18002.82283
80,Wine,57,54,234,2,SPECTRO,10,0.535185185,0.022170722,15036.72071,352.4472533,15671.98731,346.9213722
81,WordSynonyms,267,638,270,25,IMAGE,10,0.74137931,0.006137586,302039.748,23866.94461,801903.1083,63490.56863
82,Worms,181,77,900,5,MOTION,10,0.664935065,0.02103023,1029660.13,27735.96902,508726.5361,12397.57656
83,WormsTwoClass,181,77,900,2,MOTION,10,0.74025974,0.021207703,1098756.864,232603.629,511039.0737,105974.9122
84,Yoga,300,3000,426,2,IMAGE,10,0.876133333,0.002722562,325378.3541,74685.96146,3489275.364,781077.6915
