,DTW_Rn_1NN,WDTW_1NN,DDTW_Rn_1NN,WDDTW_1NN,LCSS_1NN_DELTA,LCSS_1NN_EPSILON,MSM_1NN,TWE_1NN_NU,TWE_1NN_LAMBDA,ERP_1NN_G,ERP_1NN_BANDSIZE
Adiac,0.04,0.89,0.01,0.4,5,0.199431034712765,0.28,0.00001,0.044444444,0.997155173563829,0.0277777777777777
ArrowHead,0,0.97,0.03,0.02,14,0.199601180124597,0.856,1,0.055555556,0.199601180124597,0
Beef,0,0.47,0,0.13,13,0.199787130077883,0.0325,0.00001,0.022222222,0.199787130077883,0
BeetleFly,0.08,0.02,0.08,0.02,43,0.199804598068215,0.01,0.00001,0.088888889,0.199804598068215,0.0555555555555555
BirdChicken,0.07,0.01,0.05,0,43,0.199804594520412,0.01375,0.00001,0.077777778,0.821418888583916,0.0555555555555555
Car,0.01,0.38,0.06,0.08,16,0.199826563869706,0.28,0.00001,0.044444444,0.643885594691278,0.0277777777777777
CBF,0.11,0,0.07,0.01,7,0.553381652972217,0.04375,0.00001,0.1,0.199217395069998,0.111111111111111
ChlorineConcentration,0,0.9,0,0.77,0,0.199396699415414,0.07375,0.5,0,0.376638210006893,0.0277777777777777
CinCECGTorso,0.01,0.03,0.01,0.03,45,0.999694584536926,2.44,0.0005,0,0.199938916907385,0.0277777777777777
Coffee,0,0.25,0,0.79,0,0.377116768238149,0.01,0.00001,0,0.199650053773138,0
Computers,0.13,0,0.18,0.01,20,0.199861122532827,0.172,0.00001,0.1,0.999305612664138,0.138888888888888
CricketX,0.08,0.05,0.06,0.02,42,0.288406973572214,0.676,0.0005,0.1,0.554628795331181,0.0833333333333333
CricketY,0.16,0.01,0.1,0.02,33,0.465888257749716,0.388,0.001,0.088888889,0.732110119320983,0.111111111111111
CricketZ,0.05,0.08,0.12,0.01,33,0.554628761249898,0.568,0.0005,0.1,0.288406955849947,0.0555555555555555
DiatomSizeReduction,0,0,0,0,10,0.199709957670882,0.01,0.00001,0,0.199709957670882,0
DistalPhalanxOutlineCorrect,0.02,0.76,0.03,0.56,4,0.19874596496973,0.136,0.00001,0.066666667,0.463740584929372,0.0555555555555555
DistalPhalanxOutlineAgeGroup,0,0.73,0.04,0.41,2,0.375409105437623,0.208,0.00001,0.088888889,0.287077551217006,0.0277777777777777
DistalPhalanxTW,0,0.99,0.11,0,0,0.375409185236605,1,0.01,0.044444444,0.905398623217695,0.0277777777777777
Earthquakes,0.07,0.17,0.14,0,28,0.288606561424591,7.12,0.001,0.1,0.288606561424591,0.111111111111111
