dataset,cddtw,cdtw,ddtw,dtw,erp,lcss,msm,sqed,twe,wddtw,wdtw
Adiac,0.670077,0.608696,0.585678,0.603581,0.613811,0.173913,0.626598,0.611253,0.634271,0.672634,0.606138
ArrowHead,0.834286,0.8,0.777143,0.702857,0.777143,0.777143,0.8,0.8,0.794286,0.805714,0.817143
Beef,0.7,0.666667,0.666667,0.633333,0.633333,0.766667,0.466667,0.666667,0.6,0.7,0.7
BeetleFly,0.85,0.65,0.75,0.7,0.65,0.8,0.6,0.75,0.75,0.75,0.7
BirdChicken,0.9,0.7,0.85,0.75,0.75,0.8,0.85,0.55,0.8,0.85,0.75
CBF,0.572222,0.994444,0.592222,0.996667,0.995556,0.988889,0.97,0.852222,0.992222,0.591111,0.996667
Car,0.783333,0.766667,0.733333,0.733333,0.75,0.833333,0.9,0.733333,0.916667,0.783333,0.783333
ChlorineConcentration,0.697656,0.65,0.683073,0.648438,0.645833,0.651823,0.627604,0.65,0.649479,0.689844,0.649219
CinCECGTorso,0.94058,0.930435,0.71087,0.650725,0.70942,0.946377,0.961594,0.897101,0.842754,0.90942,0.85942
Coffee,0.964286,1.0,0.928571,1.0,1.0,0.892857,0.892857,1.0,1.0,0.964286,1.0
Computers,0.676,0.624,0.668,0.7,0.568,0.616,0.576,0.576,0.6,0.608,0.7
CricketX,0.633333,0.779487,0.630769,0.753846,0.741026,0.723077,0.764103,0.576923,0.766667,0.641026,0.789744
CricketY,0.566667,0.75641,0.558974,0.74359,0.717949,0.784615,0.771795,0.566667,0.758974,0.582051,0.761538
CricketZ,0.607692,0.746154,0.55641,0.753846,0.728205,0.74359,0.766667,0.587179,0.758974,0.617949,0.761538
DiatomSizeReduction,0.915033,0.934641,0.934641,0.96732,0.954248,0.95098,0.947712,0.934641,0.947712,0.934641,0.96732
DistalPhalanxOutlineAgeGroup,0.690647,0.625899,0.676259,0.769784,0.661871,0.676259,0.741007,0.625899,0.71223,0.640288,0.697842
DistalPhalanxOutlineCorrect,0.713768,0.724638,0.731884,0.717391,0.731884,0.742754,0.735507,0.717391,0.73913,0.710145,0.717391
DistalPhalanxTW,0.589928,0.633094,0.589928,0.589928,0.661871,0.597122,0.640288,0.633094,0.633094,0.589928,0.604317
ECG200,0.89,0.88,0.83,0.77,0.84,0.88,0.91,0.88,0.89,0.88,0.88
ECG5000,0.920667,0.925111,0.919333,0.924444,0.931556,0.929778,0.931778,0.924889,0.93,0.922,0.924889
ECGFiveDays,0.695703,0.796748,0.686411,0.767712,0.8223,0.859466,0.890825,0.796748,0.826945,0.692218,0.795587
Earthquakes,0.676259,0.726619,0.676259,0.719424,0.669065,0.690647,0.690647,0.71223,0.654676,0.676259,0.726619
ElectricDevices,0.592919,0.628583,0.564778,0.595902,0.652574,0.618208,0.659058,0.550642,0.596939,0.581896,0.611075
FaceAll,0.881657,0.807692,0.872781,0.807692,0.8,0.797633,0.809467,0.713609,0.818343,0.897041,0.794083
FaceFour,0.738636,0.886364,0.625,0.829545,0.875,0.965909,0.943182,0.784091,0.852273,0.715909,0.875
FacesUCR,0.874634,0.907805,0.842927,0.904878,0.929756,0.95561,0.97122,0.769268,0.923415,0.868293,0.92
FiftyWords,0.762637,0.764835,0.692308,0.69011,0.694505,0.791209,0.813187,0.630769,0.804396,0.769231,0.771429
Fish,0.92,0.834286,0.897143,0.822857,0.88,0.88,0.931429,0.782857,0.937143,0.96,0.851429
